City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,15.92,56,0,4.15,US,1674456700
1,jamestown,42.097,-79.2353,0.01,72,100,2.06,US,1674456700
2,saint-philippe,-21.3585,55.7679,25.77,75,100,2.86,RE,1674456701
3,butaritari,3.0707,172.7902,27.3,76,100,5.31,KI,1674456701
4,jizan,17.3333,42.6667,25.52,66,19,2.09,SA,1674456702
5,bethel,41.3712,-73.414,3.05,87,100,2.06,US,1674456702
6,cherkasskoye,52.4333,47.2167,-9.74,83,92,0.3,RU,1674456702
7,baykit,61.67,96.37,-25.36,96,100,1.88,RU,1674456702
8,kodiak,57.79,-152.4072,2.73,87,100,6.17,US,1674456703
9,muros,42.7762,-9.0603,6.02,78,25,4.27,ES,1674456703
10,johannesburg,-26.2023,28.0436,21.75,60,0,5.14,ZA,1674456671
11,ushuaia,-54.8,-68.3,12.81,47,0,4.12,AR,1674456704
12,yellowknife,62.456,-114.3525,-15.71,85,100,3.09,CA,1674456641
13,awbari,26.5921,12.7805,10.31,21,0,2.45,LY,1674456704
14,dikson,73.5069,80.5464,-25.28,91,86,10.22,RU,1674456704
15,nouadhibou,20.931,-17.0347,15.99,59,0,9.77,MR,1674456705
16,taraz,42.9,71.3667,-10.77,67,4,2.0,KZ,1674456705
17,tilichiki,60.4667,166.1,-15.67,82,100,4.46,RU,1674456705
18,labytnangi,66.6572,66.4183,-11.02,88,43,3.53,RU,1674456706
19,kapaa,22.0752,-159.319,21.99,91,6,2.74,US,1674456706
20,bathsheba,13.2167,-59.5167,26.34,73,40,10.8,BB,1674456706
21,jerantut,3.936,102.3626,29.01,69,99,1.22,MY,1674456707
22,kaitangata,-46.2817,169.8464,13.85,62,6,5.14,NZ,1674456707
23,arraial do cabo,-22.9661,-42.0278,23.09,91,100,4.21,BR,1674456707
24,hermanus,-34.4187,19.2345,24.33,72,0,0.82,ZA,1674456708
25,qaanaaq,77.484,-69.3632,-33.82,51,0,3.69,GL,1674456708
26,tondano,1.3038,124.9112,23.05,83,100,1.11,ID,1674456709
27,dingle,10.9995,122.6711,26.06,83,100,5.72,PH,1674456709
28,fortuna,40.5982,-124.1573,8.19,84,75,4.63,US,1674456709
29,la rioja,42.25,-2.5,-1.12,95,100,3.58,ES,1674456710
30,bodden town,19.2833,-81.25,24.44,78,7,1.79,KY,1674456710
31,rikitea,-23.1203,-134.9692,26.17,75,0,6.95,PF,1674456711
32,lebu,-37.6167,-73.65,13.45,94,4,3.92,CL,1674456711
33,cape town,-33.9258,18.4232,25.05,65,0,2.24,ZA,1674456711
34,karratha,-20.7377,116.8463,32.66,50,3,5.41,AU,1674456712
35,lata,40.1629,-8.3327,2.18,64,0,2.0,PT,1674456712
36,antofagasta,-23.65,-70.4,18.6,90,9,0.7,CL,1674456525
37,tuktoyaktuk,69.4541,-133.0374,-19.0,84,100,5.66,CA,1674456713
38,hithadhoo,-0.6,73.0833,26.97,75,16,1.75,MV,1674456713
39,cherskiy,68.75,161.3,-33.89,93,100,0.76,RU,1674456713
40,vaini,-21.2,-175.2,29.09,79,20,2.57,TO,1674456714
41,portland,45.5234,-122.6762,5.52,92,100,1.34,US,1674456596
42,ilulissat,69.2167,-51.1,-13.22,96,100,3.62,GL,1674456714
43,bengkulu,-3.8004,102.2655,24.63,90,100,3.25,ID,1674456715
44,east london,-33.0153,27.9116,25.52,83,20,3.09,ZA,1674456715
45,finschhafen,-6.6024,147.8681,28.44,77,100,2.35,PG,1674456715
46,airai,-8.9266,125.4092,20.87,73,99,1.09,TL,1674456716
47,nimaparha,20.0667,86.0167,30.22,29,11,2.24,IN,1674456716
48,araouane,18.9048,-3.5265,15.9,16,0,4.66,ML,1674456716
49,albany,42.6001,-73.9662,0.68,92,100,1.68,US,1674456488
50,hounde,11.5,-3.5167,23.13,20,0,1.65,BF,1674456717
51,salinas,36.6777,-121.6555,12.5,49,0,2.57,US,1674456717
52,kemijarvi,66.7131,27.4306,-4.13,91,99,6.48,FI,1674456718
53,punta arenas,-53.15,-70.9167,11.06,76,0,6.17,CL,1674456718
54,victoria,22.2855,114.1577,24.03,79,7,3.58,HK,1674456718
55,narsaq,60.9167,-46.05,-13.07,67,100,3.66,GL,1674456719
56,rocha,-34.4833,-54.3333,18.05,90,9,0.43,UY,1674456446
57,talnakh,69.4865,88.3972,-28.63,94,66,0.68,RU,1674456719
58,kungurtug,50.5994,97.5228,-23.91,73,100,0.91,RU,1674456719
59,esperance,-33.8667,121.9,24.67,55,0,8.36,AU,1674456720
60,puerto ayora,-0.7393,-90.3518,23.64,97,77,0.45,EC,1674456720
61,busselton,-33.65,115.3333,31.76,34,0,6.72,AU,1674456721
62,bousso,10.4795,16.7117,24.85,17,100,3.24,TD,1674456721
63,hilo,19.7297,-155.09,23.49,94,0,2.06,US,1674456721
64,sitka,57.0531,-135.33,6.94,70,100,6.69,US,1674456722
65,mataura,-46.1927,168.8643,13.97,57,10,2.64,NZ,1674456722
66,saint simons,31.1352,-81.3901,15.02,65,100,4.12,US,1674456722
67,thompson,55.7435,-97.8558,-18.91,84,100,4.12,CA,1674456723
68,tamandare,-8.7597,-35.1047,25.01,87,12,3.01,BR,1674456723
